time,x,y,z,steer,wheel_degree,handle_angle,speed,front_dist,left_dist,right_dist,rear_dist
0.03,12.991654,-0.775463,-0.074334,0.000000, 0.000000,0.00,nan,6.830117,6.888041,6.596233,5.710546
0.54,12.991811,-0.775291,-0.075636,0.000000, 0.000000,0.00,-0.000264,6.839488,6.866720,6.601894,5.656529
1.06,12.991885,-0.775198,-0.072774,0.000000, 0.000000,0.00,-0.000041,6.839726,6.864032,6.608695,5.804879
1.57,12.991886,-0.775158,-0.073626,0.000000, 0.000000,0.00,-0.000005,6.840841,6.858294,6.608667,5.776800
2.08,12.991888,-0.775144,-0.073497,0.000000, 0.000000,0.00,-0.000003,6.841141,6.857449,6.609256,5.784267
2.59,12.991888,-0.775137,-0.073473,0.000000, 0.000000,0.00,-0.000001,6.841307,6.856783,6.609529,5.786873
3.10,12.991889,-0.775132,-0.073458,0.000000, 0.000000,0.00,-0.000001,6.841430,6.856277,6.609729,5.788718
3.62,12.991889,-0.775129,-0.073448,0.000000, 0.000000,0.00,-0.000001,6.841519,6.855908,6.609870,5.789998
4.13,12.991889,-0.775126,-0.073442,0.000000, 0.000000,0.00,-0.000000,6.841582,6.855641,6.609971,5.790884
4.64,12.991889,-0.775125,-0.073439,0.000000, 0.000000,0.00,-0.000000,6.841627,6.855449,6.610042,5.791498
5.15,12.991889,-0.775123,-0.073436,0.000000, 0.000000,0.00,-0.000000,6.841660,6.855311,6.610092,5.791925
5.66,12.991889,-0.775123,-0.073435,0.000000, 0.000000,0.00,-0.000000,6.841684,6.855212,6.610128,5.792223
6.18,13.045830,-0.773459,-0.082353,-0.131095,-7.511167,-90.13,2.615022,6.865367,6.951059,6.583042,4.968054
6.69,13.513496,-0.745401,-0.088641,-0.780000,-44.690708,-536.29,6.813392,6.915591,6.847362,5.928445,4.878856
7.20,14.190659,-0.653903,-0.075427,-0.187278,-10.730239,-128.76,5.778079,6.771583,7.251747,5.547144,5.615450
7.71,14.743426,-0.505179,-0.070906,-0.091766,-5.257817,-63.09,4.628393,6.787190,7.049042,6.767089,6.146155
8.22,15.093132,-0.368989,-0.071575,-0.187278,-10.730239,-128.76,2.395636,6.799917,6.977868,6.783190,6.361591
8.74,15.547874,-0.147178,-0.092349,-0.084035,-4.814851,-57.78,7.144840,6.885698,7.046893,6.760069,4.905619
9.25,16.430729,0.371169,-0.083247,-0.031476,-1.803431,-21.64,9.777820,6.796840,7.313383,6.709308,4.684036
9.76,17.556591,1.200096,-0.077889,0.000000, 0.000000,0.00,9.174850,6.829529,6.761005,6.846265,6.146052
10.27,18.291044,1.742859,-0.062953,0.000000, 0.000000,0.00,4.436254,6.770667,6.994301,6.786349,6.727919
10.78,18.482564,1.883997,-0.068293,0.000000, 0.000000,0.00,0.001349,6.788205,6.972554,6.786422,6.503643
11.30,18.481932,1.884148,-0.073608,0.000000, 0.000000,0.00,0.000439,6.825240,6.918629,6.799864,6.267679
11.81,18.481676,1.884364,-0.073291,0.000000, 0.000000,0.00,0.000068,6.832712,6.888017,6.809597,6.274483
12.32,18.481579,1.884467,-0.073348,0.000000, 0.000000,0.00,0.000020,6.835942,6.876639,6.813100,6.271940
12.83,18.481539,1.884514,-0.073394,0.000000, 0.000000,0.00,0.000007,6.837643,6.870609,6.814935,6.270376
13.34,18.481513,1.884546,-0.073420,0.000000, 0.000000,0.00,0.000002,6.838881,6.866085,6.816325,6.269584
13.86,18.243568,1.706590,-0.050675,0.000000, 0.000000,0.00,-4.166619,6.725657,6.807825,6.845359,6.977037
14.37,17.575378,1.194040,-0.068584,0.187278, 10.730239,128.76,-6.608939,6.772332,7.125360,6.753591,6.258621
14.88,16.743423,0.438601,-0.051319,0.000000, 0.000000,0.00,-11.252263,6.667120,6.588812,6.934096,6.206315
15.39,15.460153,-0.880834,-0.056050,0.780000, 44.690708,536.29,-13.882896,6.759686,6.916589,6.811526,5.983314
15.90,14.460896,-2.185179,-0.077414,0.131095, 7.511167,90.13,-11.851101,6.761488,6.559446,6.931284,5.096161
16.42,13.854963,-3.320557,-0.074640,0.000000, 0.000000,0.00,-7.153440,6.784607,6.615876,6.915561,4.658262
16.93,13.555788,-3.934273,-0.082805,0.000000, 0.000000,0.00,-2.393889,6.800893,7.236926,6.685042,4.422937
17.44,13.514555,-4.014611,-0.077261,0.000000, 0.000000,0.00,-0.001561,6.814659,7.037806,6.695563,4.505206
